samples,acc_x,acc_y,gyr_x,gyr_y,gyr_z
0,0.9752501965095120,-0.024094858111587600,-1.3108,0.15540000000000000,-0.7627
1,0.9760235405974520,-0.02061664034099320,-1.4157,-0.16130000000000000,-0.7978
2,0.9768390890977040,-0.024631061218662900,-1.6817,-0.1842,-0.7826
3,0.9759741537324160,-0.023330937241565700,-1.4689000000000000,-0.24880000000000000,-0.6075000000000000
4,0.9768054276026980,-0.022043867722412900,-1.3406,-0.3113,-0.8446
5,0.9761625580702890,-0.0172448789239955,-1.4049,-0.4014000000000000,-0.4785
6,0.9801286924586890,-0.016525183156327600,-1.1657000000000000,-0.333,-0.13590000000000000
7,0.9795653600872880,-0.015631828086043700,-1.0196,-0.40680000000000000,-0.40200000000000000
8,0.9778759431712160,-0.016759463160202600,-1.1271,-0.3825,-0.25200000000000000
9,0.9788736138640620,-0.018996887214288300,-0.9308,-0.19550000000000000,-0.13430000000000000
10,0.9790552658961010,-0.02129842316183410,-0.7701,-0.7017,-0.2095000000000000
11,0.9806967864561290,-0.015898659205743100,-0.833,-0.8590000000000000,0.09319999999999970
12,0.9788980522094700,-0.013897205732844600,-0.7120000000000000,-1.2282000000000000,0.3083000000000000
13,0.9808862411526870,-0.019466837696869000,-0.8201000000000000,-1.2468,0.4313000000000000
14,0.9782956564983970,-0.02461984738927160,-0.7226000000000000,-1.1595,0.09620000000000010
15,0.9748130872418210,-0.02326900609280440,-0.8657000000000000,-1.1262000000000000,0.22840000000000000
16,0.9761110104673870,-0.022248217505468300,-1.0272,-1.0439,0.6525000000000000
17,0.9755985554700130,-0.020442320812917800,-0.7986,-0.7342,0.050900000000000100
18,0.9742539062880800,-0.021768203586342000,-0.6592000000000000,-0.8635,0.22680000000000000
19,0.97941003704629,-0.02215542581819480,-0.5762,-0.7077000000000000,0.41110000000000000
20,0.9806838420357610,-0.019616818913696400,-0.18180000000000000,-0.6823000000000000,0.5460000000000000
21,0.979964226295422,-0.022776477900200400,-0.12650000000000000,-1.4904,0.4955000000000000
22,0.9818903640488850,-0.023610062559589700,-0.42159999999999900,-1.6085000000000000,0.4898000000000000
23,0.9818887434954850,-0.024238697230960700,-0.7085000000000000,-1.2542,0.5074000000000000
24,0.9812220558294630,-0.022503094542988700,-0.7010000000000000,-1.5288000000000000,0.7792999999999990
25,0.9753871832888910,-0.024668093864877500,-0.5325000000000000,-1.6427,0.5693000000000000
26,0.9737064493379490,-0.025513252476635800,-0.3329000000000000,-1.4691,0.3680000000000000
27,0.9734401283924680,-0.026463436953495900,-0.5758000000000000,-1.5326,0.2345000000000000
28,0.9781911908245940,-0.027680012399749200,-0.2201000000000000,-1.4229,0.2249000000000000
29,0.9778667700386980,-0.029135479424676200,-0.3298000000000000,-1.4287,-0.16890000000000000
30,0.978998846629583,-0.027522448593556500,-0.5440000000000000,-1.8646,0.025200000000000200
31,0.9786007806947330,-0.030415216439864800,-0.7279000000000000,-1.8160000000000000,0.2647000000000000
32,0.9768620269307050,-0.02920064167682140,-0.7244000000000000,-1.6936,0.011900000000000200
33,0.9765705974109410,-0.030720550707938000,-0.6822000000000000,-1.5396,0.0738000000000002
34,0.9753393369499270,-0.03191254776095820,-0.9800000000000000,-1.8219000000000000,-0.21150000000000000
35,0.9787581444326040,-0.02800810443933460,-0.8595000000000000,-2.1908,-0.3451000000000000
36,0.9744595565152220,-0.027018186393926600,-1.2592000000000000,-2.305,-0.19080000000000000
37,0.975515237017738,-0.02428772397301840,-0.9416000000000000,-2.102,-0.12460000000000000
38,0.978949949931934,-0.02565976250809410,-0.9842000000000000,-1.9756,-0.21520000000000000
39,0.97788537639255,-0.026310424701605600,-1.0108000000000000,-1.9887,-0.5168000000000000
40,0.9788112625718260,-0.02528569476834600,-0.7913000000000000,-2.3265,-0.5021000000000000
41,0.9779031124492060,-0.02409180706969250,-0.677500000000001,-2.517600000000000,-0.3531999999999980
42,0.9774173165556030,-0.0211244537533205,-0.8265000000000000,-2.0309,-0.11680000000000000
43,0.9753244518668460,-0.02076337044760450,-0.9003000000000000,-2.352500000000000,-0.5436999999999970
44,0.9786781671212900,-0.022502724416594900,-0.8979000000000000,-1.9023000000000000,-0.45610000000000000
45,0.974732229629894,-0.022867078839359100,-1.1569000000000000,-1.9307000000000000,-0.5442000000000000
46,0.9743900527805110,-0.02530996305568170,-1.3987000000000000,-2.0991,-0.5593000000000000
47,0.9699045010171670,-0.02353859815533340,-0.7203000000000000,-1.7353,-0.4216000000000000
48,0.9707787195525490,-0.023866190024116300,-0.4691000000000020,-1.8416000000000000,-0.4747000000000000
